,Question,option a,option b,option c,option d,Answer,Explanation,Tag,Difficulty
81,Which of the following statements is correct?,An electric field is a scalar quantity,Electric field lines are at 45 degrees to the equipotential surfaces,The surface of a charged conductor is equipotential,Field lines due to a point charge are circular,C,In conductors charges are equally distributed over the surface of the conductor. Therefore the potential throughout the surface is the same i.e. equipotential. The electric field is a vector quantity and the field lines cut the equipotential surfaces at 90 degrees. The field lines due to a point charge are radial.,Physics,82
82,A charge q is placed on an equipotential surface and electric field intensity at that place is E What is the work done to move the charge by a distance x on the surface?,x*\(\frac {q}{E}\,x*q*E,E*\(\frac {x}{q}\,Zero,D,As the surface is equipotential all the points on the surface of the plane have the same potential values. Therefore work done to move the charge by a distance x on that surface is zero. The electric field plays no role here.,Physics,83
83,A smaller sphere has potential 50V and a larger sphere has potential 100V How should they be placed so that if they are connected with the help of a wire the charge will flow from the smaller sphere to the larger sphere? Both the spheres are conducting and hollow,Concentrically,Touching each other,It is never possible,The smaller sphere should be grounded,A,We know that for a conducting sphere the charge is always distributed on its outer surface. We also know that charge flows from higher potential to lower potential. But if we put the smaller sphere inside the larger sphere and connect them with a conductor they will act as a single conductor and charge will be distributed to its outer surface i.e. charge will flow to the larger sphere.,Physics,84
84,The work done to move a charge of 20C by a distance of 2cm is 2J What is the potential difference between those two points?,1V,0.1V,10V,20V,B,Work done to move a charge q in a potential difference of V is equal to q*V. According to the question 2J=20C*Potential difference. Therefore potential difference=\(\frac {2}{20}\)V=0.1V. The definition of 1J thus becomes work done to move a charge of 1C from one point to another where the potential difference between the two points is 1V.,Physics,85
85,+q charges are placed at a 3a 5a… (up to infinity) and –q charges are placed at 2a 4a 6a… (up to infinity) What is the total potential energy at origin (0 0)?,Zero,\(\frac {q}{a}\,\(\frac {(q \ log2}{a}\,\(\frac {qe^2}{a}\,C,The total potential energy at the origin due to the system is V=\(\frac {q}{a} – \frac {q}{2a} + \frac {q}{3a} – \frac {q}{4a} + \frac {q}{5a}\)……(up to infinity) where a 2a 3a… are the distances of the charges from the origin. Now taking \(\frac {q}{a}\) common from the terms we get V=\(\frac {q}{a} (1 – \frac {1}{2} + \frac {1}{3} – \frac {1}{4} + \frac {1}{5})\). By substituting the expansion of log2 we can get V=\(\frac {(q \ log2)}{a}\).,Physics,86
86,What is the potential energy at the center of an equilateral triangle if +5esu +5esu and -10esu are placed at the corners of the triangle? The triangle has a side length of √3cm,20V,5V,\(\frac {5}{3}\V,0V,D,Distance of the center of the triangle from every corner point is = \(\frac {2}{3} * \frac {\sqrt 3}{2}\) * √3cm=1cm [as we know that the center divides the median in a 21 ratio and the length of the median is \(\frac {2}{3}\)*side length]. Therefore the potential at the center is =\(\frac {5}{1} + \frac {5}{1} -\frac {10}{1}\)=0 esu Volt.,Physics,87
87,+q charges are placed at the points (1 0) (2 0) (4 0) (8 0) … (up to infinity) What is the potential at the origin due to these charges?,\(\frac {2q}{3}\,2q,\(\frac {q}{3}\,Infinity,B,Electric potential due to the charges at the origin= q*\((\frac {1}{1} + \frac {1}{2} + \frac {1}{4} + \frac {1}{8} +…..=q*\frac {1}{1-\frac {1}{2}})\)=2q [by applying the formula of infinite G.P. series]. It can be shown that if the charges are alternately positive and negative then the potential at the center would be \(\frac {2q}{3}\) .,Physics,88
88,Two isolated metallic spheres one with a radius R and another with a radius 5R each carries a charge ‘q’ uniformly distributed over the entire surface Which sphere stores more electric potential energy?,The sphere with radius 5R,Both of the spheres will have the same energy,The sphere with radius R,Initially it will be the sphere with radius 5R then it will shift to the sphere with radius R,C,The sphere with radius R stores more electric potential energy. According to the electric potential energy equation  → U = \(\frac {1}{(4\pi \varepsilon_o)} \times [ \frac {q_1q_2}{r} ]\),Physics,89
89,There are two charges → Q1 = +q and charge Q2 = +2q From the initial point (Q) Q1 is at a distance of r and Q2 is at a distance 2r Which charge (Q1 or Q2) will have higher electrostatic potential energy?,Q1,Both will have the same energy,Q2,The information given is not enough to determine,B,Electrostatic potential energy of Q1 → U1 = \(\frac {1}{(4\pi \varepsilon_o)}\) × [Q × \(\frac {q}{r}\)] ……….1,Physics,90
90,What is the net electrostatic field in the interior of a conductor?,Positive,Negative,Zero,Depends on the nature of the conductor,C,Net electrostatic field is zero in the interior of a conductor. When a conductor is placed in an electric field its free electrons begin to move in the opposite direction. Negative charges are induced on the left end and positive charges on the right end of the conductor. The process continues until the electric field set up by induced charges becomes equal and opposite the external field.,Physics,91
91,What is the electric field in the cavity of a hollow charged conductor?,Positive,Negative,Zero,Depends on the nature of the conductor,C,By Gauss’s theorem the charge enclosed by the gaussian surface is zero. Consequently the electric field must be zero at every point inside the cavity. Then the entire excess charge lies on its surface.,Physics,92
92,How is the electric field at the surface of a charged conductor related to the surface charge density?,Proportional to each other,Indirectly proportional,Independent,Exponential,A,The electric field at the surface of a charged conductor is proportional to the surface charge density. The electric field is zero inside the conductor and just outside it is normal to the surface. The contribution to the total flux comes only from its outer cross-section.,Physics,93
93,How is the potential within and on the surface of a conductor?,Indirectly proportional,Directly proportional,Zero,Constant,D,Electric field at any point is equal to the negative of the potential gradient. But inside a conductor the electric field is zero. Hence the electric potential is constant throughout the volume of a conductor and has the same value on its surface.,Physics,94
94,What is the total work done on moving a test charge on an equipotential surface?,Maximum,Minimum,Constant,Zero,D,The potential difference between any two points on an equipotential surface is zero.,Physics,95
95,‘X’ is the phenomenon of making a region free from any electric field Identify X,Faraday’s cage,Electrostatic shielding,Gauss theorem,Corona discharge,B,The phenomenon of making a region free from any electric field is called electrostatic shielding. It is based on the fact that the electric field vanishes inside the cavity of a hollow conductor.,Physics,96
96,What type of surface is the surface of a conductor?,Equipotential,Unipolar,Unipotential,Bipolar,A,Electric field at any point is equal to the negative of the potential gradient. But inside a conductor the electric field is zero. Hence the electric potential is constant throughout the volume of a conductor and has the same value on its surface. Thus the surface of a conductor is equipotential.,Physics,97
97,In which type of molecule positive and negative charges coincide with each other?,Polar,Unipolar,Non-polar,Bipolar,C,A molecule in which the centre of mass of positive and negative charges collide with each other is called a non-polar molecule. They normally have zero dipole moment. They have symmetrical shapes.,Physics,98
98,What is the induced dipole moment developed per unit volume of a dielectric when placed in an external electric field called?,Relative permittivity,Polarisation susceptibility,Electric susceptibility,Polarisation density,D,The induced dipole moment developed per unit volume of a dielectric when placed in an external electric field is called polarization density. It may be defined as the charge induced per unit surface area.,Physics,99
99,In which type of molecule positive and negative charges does not coincide with each other?,Isentropic,Equipotential,Polar,Non-polar,C,A molecule in which the centre of mass of positive and negative charges does not collide with each other is called a polar molecule. They have a permanent dipole moment. They have unsymmetrical shapes.,Physics,100
100,Solid-state is denser than the liquid and gaseous states of the same substance Which of the following is an exception to this rule?,Mercury,Carbon dioxide (dry ice,Ice,NaCl,C,The density of ice is about 0.92 g/cm,Chemistry,1
101,Which of the following can be used to describe a crystalline solid?,Heterogeneous anisotropic,Homogeneous anisotropic,Heterogeneous isotropic,Homogeneous isotropic,B,Homogeneity refers to uniformity in composition which is a characteristic property of crystalline solids. Isotropy is when the values of physical properties do not change with direction throughout the body of the solid. Crystalline solids are anisotropic because the composition of the solid changes with direction hence the physical properties also change with direction.,Chemistry,2
102,When a single substance can crystallize in two or more forms under different conditions provided it is called as _________,Polymorphous,Isomorphous,Semimorphous,Multimorphous,A,Isomorphous is when two or more substances have the same crystal structure. Polymorphous is when a single substance can crystallize in two or more forms depending upon the conditions.,Chemistry,3
103,Which of the following is an amorphous solid?,Quartz,Quartz glass,Graphite,Salt (NaCl,B,Quartz glass does not have a perfectly ordered structure hence it is classified as an amorphous solid. The rest are crystalline solids due to ordered structures.,Chemistry,4
104,Which type of solid structure melts at a definite sharp melting point?,All types of solids,No type of solid,Amorphous solids,Crystalline solids,D,Crystalline solids have a perfectly ordered structure which collapses immediately at a specific temperature. Amorphous solids melt over a range of temperatures not one specific value.,Chemistry,5
105,Which of the following describes a general solid?,Compressible,Incompressible,Fluid,Semi-compressible,B,The intermolecular forces of attraction in a solid are very strong making it incompressible. Gases are highly compressible while liquids are semi-compressible. Fluid is a property of a substance that can ‘flow’.,Chemistry,6
106,_________ is the basic repeated structural unit of a crystalline solid,Monomer,Molecule,Unit cell,Atom,C,Crystalline solids are composed of many small crystals each of which is called a unit cell. It is a specific term. Monomer is the basic unit for a polymer and atoms make up molecules which can further arrange themselves to form solids liquids or gases.,Chemistry,7
107,Which of the following statements is true for an amorphous solid?,Long range order is present,Short range order is present,There is no orderly arrangement,Complete order is present at lower temperatures,B,For an amorphous solid there is short range order present which is independent of the temperature. Long range order is present in crystalline solids.,Chemistry,8
108,Sulfur exists in two polymorphic forms ____________ and ______________,rhombic and monoclinic,rhombic and triclinic,hexagonal and triclinic,hexagonal and monoclinic,A,There are two polymorphous structures of sulfur rhombic and monoclinic. Polymorphous structures occur when a single substance can crystallize in two or more forms depending upon the conditions.,Chemistry,9
109,In polar molecular solids the molecules are held together by ________,dipole-dipole interactions,dispersion forces,hydrogen bonds,covalent bonds,A,Molecular solids are solids that are collections of molecules held together by intermolecular forces. In polar molecules such as HCl So,Chemistry,10
110,Diamond is an example of _______,solid with hydrogen bonding,electrovalent solid,covalent solid,glass,C,The solids in which constituent particles are attached to each other by covalent bonds are called covalent solids. Diamond graphite silicon SiC AIN quartz are examples of covalent solids.,Chemistry,11
111,Silicon is found in nature in the forms of ________,body-centered cubic structure,hexagonal-closed packed structure,network solid,face-centered cubic structure,C,Silicon due to its catenation property form network solid. Catenation is the ability of an atom to form bonds with other atoms of the same element. The compounds of silicon are reactive and not stable.,Chemistry,12
112,Which one of the following are the dimensions of cubic crystal?,a =b ≠ c,a = b = c and α = β ≠ γ = 90,a = b = c and α = β = γ = 90,a ≠ b = c and α = β ≠ γ = 90,C,The dimensions of a cubic crystals are a = b = c α = β = γ = 90.,Chemistry,13
113,Which of the following is not a crystal system?,Cubic,Trigonal,Triclinic,Hexaclinic,D,Hexaclinic is not a crystal system. Their crystal system are cubic tetragonal rhombohedral or trigonal orthorhombic or rhombic monoclinic triclinic and hexagonal.,Chemistry,14
114,In face-centred cubic cell a unit cell is shared equally by __________,four unit cells,two unit cells,one unit cell,six unit cells,D,The unit cell in which atoms are present at corners as well as faces of unit cell is known as face-centred cubic unit cell. In face-centred cubic cell a unit cell is shared equally by six unit cells.,Chemistry,15
115,The unit cell with a≠b≠c and α=β=γ=90 refers to __________ crystal system,hexagonal,trigonal,triclinic,orthorhombic,D,In orthorhombic crystal system all three axes are unequal in length and all are perpendicular to one another. It is also called as rhombic crystal system. Topaz barite are some examples of orthorhombic crystals.,Chemistry,16
116,Which is the most unsymmetrical crystal system?,Triclinic crystal system,Cubic crystal system,Hexagonal crystal system,Trigonal crystal system,A,Most unsymmetrical crystal system is triclinic in which all three axes are unequal in length none is perpendicular to another. Triclinic unit cells has the least symmetrical shape of all unit cells. Turquoise is an example of triclinic crystal.,Chemistry,17
117,In the simple cubic cell each corner atom is shared by __________,eight unit cells,one unit cell,two unit cells,six unit cells,A,The unit cell in which the constituent atoms are present only at the corner is known as simple cubic cell. It is also referred to as a primitive cubic cell. In the simple cubic cell each corner atom is shared by eight different unit cells.,Chemistry,18
118,The points which shows the position of atoms in crystal are called as _________,crystal lattice,crystal parameters,bravais lattice,lattice point,D,The point at which the atoms may be present on the unit cell is termed as lattice point. It shows the position of atoms in crystal.,Chemistry,19
119,The unit cell with a≠b≠c and α=γ=90 β≠90 refers to __________crystal system,cubic,tetragonal,monoclinic,triclinic,C,In monoclinic crystal system all the three axes are unequal in length and two axes are perpendicular to each other. Gypsum and borax are examples of monoclinic crystals.,Chemistry,20
120,Which type of solid crystals will conduct heat and electricity?,Ionic,Covalent,Molecular,Metallic,D,Metallic crystals consist of metal cations surrounded by a sea of mobile valence electrons. These electrons are capable of moving through the entire crystal. The metallic crystals conduct heat and electricity due to the presence of these mobile electrons in them.,Chemistry,21
121,Which is not a characteristic of crystalline solids?,They undergo a clean cleavage,They are true solids,They are isotropic,They have sharp melting points,C,Amorphous solids are isotropic that is they have identical properties in all directions whereas crystalline solids are anisotropic that is they have different properties in different directions.,Chemistry,22
122,Which of the following is a characteristic of amorphous solid?,They are true solids,They have sharp melting points,They undergo clear cleavage,They are isotropic,D,Amorphous solids are isotropic that is they have identical properties in all directions. The remaining options are the characteristics of crystalline solids.,Chemistry,23
123,Solids are classified as ___________,crystalline and ionic solids,metallic and amorphous solids,molecular and covalent solids,crystalline and amorphous solids,D,Based on their crystal structures solids are classified as crystalline and amorphous solids. In crystalline solids the constituent particles are arranged in a regular manner. In amorphous solids the constituent particles are not arranged in any regular manner.,Chemistry,24
124,Quartz is an example of ___________,molecular solids,ionic solids,covalent solids,metallic solids,C,Quartz is a common example of covalent solids. In covalent solids the constituent particles are attached to each other by covalent bonds. Diamond graphite silicon are other examples of covalent solids.,Chemistry,25
125,Solid carbon dioxide is an example of _________,metallic crystal,covalent crystal,ionic crystal,molecular crystal,D,Solid CO,Chemistry,26
126,Which of the following consists of either atoms or molecules formed by non polar covalent bonds?,Non polar molecular solid,Metallic solid,Polar molecular solid,Ionic solid,A,Non polar molecular solids consists of either of the atoms or molecules formed by non polar covalent bonds. Metallic solids and ionic solids consist of free mobile electrons and ions respectively. Whereas polar molecular solids are formed by polar covalent bonds.,Chemistry,27
127,Polar molecular solids are _________,bad conductors of electricity,good conductors of electricity,solid at room temperature,brittle,A,In polar molecular solids the molecules are formed by covalent bonds and held together by strong dipole-dipole interaction. Therefore polar molecular solids are non-conductors of electricity.,Chemistry,28
128,The molecules in polar molecular solid are held together by __________,dipole-dipole interaction,london forces,ionic bond,metallic bond,A,The force responsible for holding together the molecules of polar molecular solids is dipole-dipole force of attraction. Polar molecular solids are non-conductors of electricity.,Chemistry,29
129,Which of the following tend to be volatile liquids or soft solids at room temperature and pressure?,Non polar molecular solids,Metallic solids,Polar molecular solids,Hydrogen bonded molecular solids,D,In hydrogen bonded molecular solid the intermolecular forces are strong hydrogen bonds. Hence it tends to be volatile liquids or soft solids at room temperature and pressure.,Chemistry,30
130,Which type of solids are formed by three-dimensional arrangement of cations and anions bound by strong electrostatic force?,Polar molecular solids,Ionic solids,Covalent solids,Metallic solids,B,Ionic solids are made up of three dimensional arrangement of cations and anions bound by strong electrostatic force.,Chemistry,31
131,Which of the following is non-conductor of electricity at solid state but can conduct electricity in the molten state or when dissolved in water?,Non polar molecular solids,Metallic solids,Ionic solids,Hydrogen bonded molecular solids,C,Ionic Solids when dissolved in water tend to separate cations and the anions which allows the solution to conduct electricity. Also they have high melting and boiling points.,Chemistry,32
132,Which of the following is an orderly collection of positive ions surrounded and held together by a sea of electrons?,Gas,Non-metal,Metal,Metalloids,C,Metal is said to be an orderly collection of positive ions surrounded and held together by a sea of delocalized electrons. These delocalized electrons are mobile and are responsible for the conduction of electricity.,Chemistry,33
133,Which of the following are responsible for high electrical and thermal conductivity of a metal?,Ions,Covalent bonds,Free H+ ions,Free and mobile electrons,D,Each atom of a metal gives one or more electrons towards the sea of mobile electrons it is surrounded by which ultimately contributes to the electrical and thermal conductivity of the metal.,Chemistry,34
134,Which of the following is not a characteristic of metals?,Lustre,Ductile,Malleable,Brittle,D,Metals are lustrous ductile and malleable. They cannot be brittle. Non-metals tend to be brittle in their solid state.,Chemistry,35
135,Which type of crystalline solid is also called as giant molecules?,Ionic solids,Covalent solids,Polar molecular solids,Metallic solids,B,Covalent solids consists of a long chain of covalent bonds between the adjacent molecules throughout the crystal. Hence they are called giant molecules. They are hard and brittle in nature.,Chemistry,36
136,Which of the following is regarded as the ‘repeatable entity’ of a 3D crystal structure?,Unit cell,Lattice,Crystal,Bravais Index,A,Unit cell is the smallest entity of a crystal lattice which when repeated in space (3 dimensions) generates the entire crystal lattice. Lattice comprises of the unit cells which hold all the particles in a particular arrangement in 3 dimensions. Crystal is a piece of homogenous solid and Bravais indices are used to define planes in crystal lattices in the hexagonal system.,Chemistry,37
137,Which of the following unit cells has constituent particles occupying the corner positions only?,Body-centered cell,Primitive cell,Face centered cell,End-centered cell,B,According to classification of unit cells a primitive unit cell is one which has all constituent particles located at its corners. BCC has one particle present at the center including the corners. FCC has an individual cell shared between the faces of adjacent cells. End centered cells have cells present at centers of two opposite faces.,Chemistry,38
138,What is the coordination number of a body-centered unit cell?,6,12,8,4,C,Coordination number of a unit cell is defined as the number of atoms/ions that surround the central atom/ion. In the case of BCC the central particle is surrounded by 8 particles hence 8.,Chemistry,39
139,Which of the following arrangements of particles does a simple cubic lattice follow?,ABAB,AABB,ABCABC,AAA,D,Simple cubic lattice results from 3D close packing from 2D square-packed layers. When one 2D layer is placed on top of the other the corresponding spheres of the second layer are exactly	 on top of the first one. Since both have the same exact arrangement it is AAA type.,Chemistry,40
140,If a crystal lattice has 6 closed-pack spheres what the number of tetrahedral voids in the lattice?,12,6,36,3,A,For a crystal lattice if there are N close-packed spheres the number of tetrahedral voids are 2N and number octahedral voids are N. For N=6 number of tetrahedral voids = 2 × 6 = 12.,Chemistry,41
141,Which of the following possess anisotropic nature within their structure?,Hair wax,Snowflakes,Polythene,Crystal glass,B,Crystalline solids possess anisotropic nature within their structure. Anisotropy is the directional dependence of a property. Meaning a property within the crystal structure will have different values when measured in different directions. Snowflake is a crystalline solid whereas the rest are amorphous solids.,Chemistry,42
142,What is the radius of a metal atom if it crystallizes with body-centered lattice having a unit cell edge of 333 Pico meter?,1538.06 pm,769.03 pm,288.38 pm,144.19 pm,D,For body-centered unit cells the relation between radius of a particle ‘r’ and edge length of unit cell ‘a’ is given as \(\frac{\sqrt{3}}{4}\)a=r,Chemistry,43
143,How many parameters are used to characterize a unit cell?,Six,Three,Two,Nine,A,A unit cell is characterized by six parameters i.e. the three common edge lengths a b c and three angles between the edges that are α β γ. These are referred to as inter-axial lengths and angles respectively. The position of a unit cell can be determined by fractional coordinates along the cell edges.,Chemistry,44
144,What is each point (position of particle) in a crystal lattice termed as?,Lattice index,Lattice point,Lattice lines,Lattice spot,A,Each point of the particle’s position is referred to as ‘lattice point’ or ‘lattice site’. Every lattice point represents one constituent particle which may be an atom ion or molecule.,Chemistry,45
145,In primitive unit cubic cell only _______ of an atom (or ion or molecule) belongs to a particular unit cell,\(\frac{1}{4}\th,\(\frac{1}{3}\rd,\(\frac{1}{8}\th,\(\frac{1}{2}\nd,C,In primitive unit cubic cell each atom at the corner is shared between 8 adjacent unit cells. Thus only \(\frac{1}{8}\)th of an atom (or ion or molecule) belongs to a particular unit cell.,Chemistry,46
146,The total number of atoms in one unit cell of primitive unit cubic cell is ______ atom(s),1,8,4,2,A,In primitive cubic unit cell atoms are present only at the corner of the cell. Thus in actual only \(\frac{1}{8}\)th of an atom (or ion or molecule) belongs to a particular unit cell. Hence the total number of atoms in primitive cubic unit cell = 8 × \(\frac{1}{8}\) = 1 atom.,Chemistry,47
147,The total number of atoms in one unit cell of body-centered unit cubic cell is ______ atoms,4,3,8,2,D,In body-centered cubic unit cell one atom is present at each of the corners and one atom at its body center.,Chemistry,48
148,The total number of atoms in one unit cell of face-centered unit cubic cell is ______ atoms,2,6,4,8,C,In face-centered cubic unit cell atoms are present at each of the corners and at the centre of the face of the cube.,Chemistry,49
149,In ______ constituent particles are closely packed leaving the least amount of vacant spaces,plasma,liquids,solids,gases,C,In solids the constituent particles tend to be closely packed due to strong forces between them. Hence solids are stable and have a definite shape.,Chemistry,50
150,What is the coordination number for one-dimensional close packing?,2,1,4,6,A,In one-dimensional close packing the constituent particles are assumed to be arranged in a row. Thus each constituent particle comes in contact with 2 of its neighbors and thereby giving the coordination number 2.,Chemistry,51
151,In how many ways can the two-dimensional close packed structure be generated?,3,2,1,5,B,Two-dimensional close packed structure can be generated using the one-dimensional close packed structures. This can be done in 2 ways,Chemistry,52
152,What is the coordination number for a two-dimensional square close packed structure?,8,4,6,2,B,In a two-dimensional square close packed structure each sphere is in contact with 4 of its adjacent spheres. Hence it has coordination number 4.,Chemistry,53
153,What is the coordination number for a two-dimensional hexagonal close packed structure?,4,8,12,6,D,In a two-dimensional hexagonal close packed structure each sphere is in direct contact with 6 of its adjacent spheres. Hence it has coordination number 6.,Chemistry,54
154,Voids in two-dimensional hexagonal close packed structure are ___________ in shape,circular,rectangular,triangular,hexagonal,C,Two-dimensional hexagonal close packed structure are formed when one row of a one-dimensional structure is placed below another in such a way that spheres of second row fit in the depressions of the first row and thereby creating triangular voids between them.,Chemistry,55
155,What does the ratio ‘space occupied/total space’ denote?,Packing factor,Packing efficiency,Particle fraction,Packing unit,A,Packing factor is a fraction of total space of the unit cell occupied by the constituent particles.,Chemistry,56
156,Arrange the types of arrangement in terms of decreasing packing efficiency,BCC < Simple cubic < CCP,HCP < CCP < BCC,HCP < BCC < Simple cubic,CCP < BCC < HCP,C,HCP and CCP have the highest packing efficiency of 74% followed by BCC which is 68%. The simple cubic structure has a packing efficiency of 54%.,Chemistry,57
157,Which of the following metals would have the highest packing efficiency?,Copper,Potassium,Chromium,Polonium,A,Copper metal bears face-centered unit cells in its crystal structure. Potassium and chromium both have body-centered unit cells whereas polonium is the only known metal to bear a simple cubic structure. FCC structure has the highest efficiency.,Chemistry,58
158,What are the percentages of free space in a CCP and simple cubic lattice?,52% and 74%,48% and 26%,26% and 48%,74% and 52%,C,The packing efficiency in CCP and simple cubic lattice are 74% and 52% respectively. Hence the corresponding free spaces will be 100% – 74% = 26% and 100% – 52% = 48%.,Chemistry,59
159,How many atoms surround the central atom present in a unit cell with the least free space available?,4,6,8,12,D,FCC CCP and HCP are unit cells with least free space available i.e. highest packing efficiency. The coordination number of given cells are 12.,Chemistry,60
160,The radius of an atom of an element is 55 pm What is the edge length of the unit cell if it is body-centred cubic?,144.6 pm,163.4 pm,127.0 pm,123.5 pm,C,Given,Chemistry,61
161,A metal crystallizes into two cubic phases BCC and FCC The ratio of densities of FCC and BCC is equal to 15 Calculate the difference between the unit cell lengths of the FCC and BCC crystals if the edge length of the FCC crystal is equal to 40 Å,0.5 Å,0.37 Å,0. 28 Å,0.73 Å,B,Given,Chemistry,62
162,Rubidium Chloride (RbCl) has NaCl like structure at normal pressures If the radius of the Chloride ion is 154 Å what is the unit cell edge length for RbCl? (Assuming anion-anion contact),4.25 Å,4.78 Å,4.32 Å,5.14 Å,C,Given,Chemistry,63
163,What kind of order is present in a solid for it to be a perfectly crystalline solid?,Long range order,Short range order,No order,Both short range and long range order,D,Only short range order is a feature of amorphous solids. Crystalline solids exhibit both short and long range order. Crystalline solids are formed by repetitive arrangement of unit cells.,Chemistry,64
164,In a crystal if a fault exists in the arrangement at a point it is called as _________,space defect,single defect,point defect,primary defect,C,When there is a fault in the arrangement of a constituent particle such as an atom ion or molecule and the fault exists at a point in the lattice structure it is called as a point defect.,Chemistry,65
165,In which type of point defect are the cations and anions absent in stoichiometric proportions?,Schottky defect,Frenkel defect,Impurity defect,The given situation does not occur for any point defect.,A,A vacancy defect is when an atom ion or molecule is absent from its position in the lattice. When this occurs for ionic solids it is called a Schottky defect. Cations and anions are found to be absent in stoichiometric proportion so that the electrical neutrality of the crystal is maintained.,Chemistry,66
166,Schottky defects are observed in solids with cations and anions of similar sizes Which of the following compounds therefore is NOT likely to have a Schottky defect?,NaCl,AgCl,CsCl,KCl,B,There is a considerable size difference between Ag cation and Cl anion. Hence a Frenkel defect is more likely to occur than a Schottky defect.,Chemistry,67
167,Impurity defect is a type of point defect It can occur __________,in one way as substitution impurity defect,in one way as interstitial impurity defect,in two ways as substitution impurity defect or as interstitial impurity defect,in two ways as vacant impurity defect or as interstitial impurity defect,C,An impurity defect occurs when a regular ion is replaced by some other type of ion e.g. Na,Chemistry,68
168,Stainless steel is a/an ________ alloy,vacant,interstitial,substitution,pure,B,Stainless steel is an interstitial alloy. Carbon atoms are introduced into interstitial spaces of iron lattice as an impurity. Further alloying sees the introduction of nickel chromium in the interstitial spaces.,Chemistry,69
169,Metals are good conductors of heat and electricity This property is conferred by _______ bonds,covalent,ionic,metallic,hydrogen,C,Metallic bonds are formed between positive metal ions and the sea of delocalized electrons. This bond is stronger than covalent and ionic bonds. Due to the mobility of electrons conduction of heat and electricity is feasible.,Chemistry,70
170,Which of the following properties holds true for a metalloid?,Poor conductors of heat and electricity,Malleable,Ductile,Non-brittle,A,Metalloids have properties intermediate to those of metals and non-metals. They are non-malleable non-ductile and brittle. They are poor conductors of heat and electricity as compared to metals but are better conductors than non-metals.,Chemistry,71
171,According to the band theory increase in number of atoms participating in crystal formation leads to ________ in number of molecular orbitals containing electrons,decrease,increase,no change,either increase or decrease depending upon the size of the atoms,B,The band theory assumes that atomic orbitals of the atoms of the crystal combine to form molecular orbitals which are spread over the whole crystal structure. Hence the number of atoms is directly proportional to the number of molecular orbitals formed.,Chemistry,72
172,For a metallic crystal which band do the delocalized electrons occupy?,Conduction band,Valence band,Both conduction and valence bands,There are no delocalized electrons,A,A metallic crystal has valence electrons in the valence band and free moving delocalized electrons in the conduction band. For a metal these two bands are very close to each other.,Chemistry,73
173,A substance containing one band completely filled with electrons and other band completely empty but with a possibility of the empty band becoming populated behaves as a _________,metal,non-metal,semiconductor,metal and non-metal,C,Semiconductors have completely filled valence bands and completely empty conduction bands. The energy gap between the two bands is relatively small and can be overcome by supplying heat which excites some electrons to the conduction band thus allowing the conduction of electricity.,Chemistry,74
174,Label the diagram correctly,1-Non metal 2-Semiconductor 3-Metal,1-Semiconductor 2-Non metal 3-Metal,1-Metal 2-Semiconductor 3-Non metal,1-Metal 2-Non metal 3-Semiconductor,C,Energy gap is very less (may even be absent) for metals very huge for non metals and intermediate (small) for semiconductors.,Chemistry,75
175,Which among the following statements is correct?,NaCl is a paramagnetic substance,Paramagnetic substances behave like an insulator,Cobalt is an Antiferromagnetic substance,On heating ferrimagnetic substanceslose ferrimagnetism,D,On heating ferrimagnetic substances become paramagnetic and hence lose their ferromagnetism. NaCl is diamagnetic in nature. Cobalt is a ferromagnetic substance.,Chemistry,76
176,What is the correct order of magnetic strength among the following elements?,Fe > Co > Ni > Cu,Fe > Ni > Co > Cu,Cu > Ni > Co > Fe,Cu > Fe > Ni > Co,A,Magnetic strength depends on the number of unpaired electrons possessed by the element. Iron Cobalt Nickel and Copper have 4 3 2 and 1unpaired electron respectively. Hence the correct order of magnetic strength is Fe > Co > Ni > Cu.,Chemistry,77
177,Which of the following elements have a negative value of magnetic susceptibility?,Iron,Oxygen,Aluminium,Nitrogen,D,Only Diamagnetic substances show a negative value of magnetic susceptibility. In the given list oxygen and aluminium are paramagnetic iron is ferromagnetic and nitrogen is diamagnetic. Therefore Nitrogen has a negative value of magnetic susceptibility.,Chemistry,78
178,In which of the following magnetic properties of elements does the magnetic susceptibility increase on increasing the temperature?,Paramagnetism,Anti-ferromagnetism,Ferromagnetism,Diamagnetism,B,On increasing the temperature the magnetic susceptibility of diamagnetic substances do not change that of paramagnetic and ferromagnetic substances decrease and that of antiferromagnetic substances increase.,Chemistry,79
179,What is the temperature above which a ferromagnetic substance shows no ferromagnetism called?,Curie temperature,Néel temperature,Critical temperature,There exists no such temperature,A,The Néel temperature or magnetic ordering temperature is the temperature above which an antiferromagnetic material becomes paramagnetic. The Critical temperature of a gas is the temperature above which it cannot be liquefied by pressure alone. The temperature above which a ferromagnetic substance shows no ferromagnetism is called Curie temperature.,Chemistry,80
180,Which of the following is not a solid solution?,Brass,Bronze,Hydrated salts,Aerated drinks,D,A solid solution is a solid-state solution of one or more solutes in a solvent. Brass bronze and hydrated salts are examples of solid solutions. Aerated drinks are examples of liquid solutions (gas in liquid).,Chemistry,81
181,What is an alloy of copper and zinc called?,Bronze,German silver,Brass,Solder,C,An alloy of copper and zinc is called Brass. German silver is an alloy of copper zinc and nickel sometimes also containing lead and tin. Bronze is an alloy of copper and tin. Solder is an alloy of tin lead and antimony.,Chemistry,82
