Question,A,B,C,D,Answer,Explanation,Topic
For which value of x will (x – 1)(3 – x) have its maximum?,0,1,2,-2,C,"Let, y = (x – 1)(3 – x) = 4x – x",Mathematics
What will be the values of x for which the value of cosx is minimum?,(2m + 1π,(2mπ,(2m + 1π/2,(2m – 1π,A,"Let, f(x) = cosx",Mathematics
What will be the value of x for which the value of cosx is minimum?,0,-1,1,Cannot be determined,B,"Let, f(x) = cosx",Mathematics
What will be the nature of the equation sin(x + α)/sin(x + β)?,Possess only minimum value,Possess only maximum value,Does not possess a maximum or minimum value,Data inadequate,C,"Let, y = sin(x + α)/sin(x + β)",Mathematics
At which point does f(x) = |x – 1| has itslocal minimum?,They are unequal,They are equal,Depend on the numbers,Can’t be predicted,B,"The given function is f(x) = ∣x − 1∣, x ∈ R.",Mathematics
"Two straight railway lines meet at right angles A train starts from the junction along one line and at the same time instant, another train starts towards the junction from a station on the other line and they move at the same uniform velocityWhen will they be nearest to each other?",When they are equal distance from the junction,When they are in unequal distance from the junction,When they form a right angle at the junction,Data not sufficient,A,Let OX and OY be two straight railway lines and they meet at O at right angles.,Mathematics
“It is impossible for a particle to move in a straight line so that its velocity varies at the distance from the commencement of motion” Which one is correct for the given statement?,The above statement is valid,The above statement is not valid,Data inadequate,Answer does not exist,A,"Let a particle be moving along the straight-line OX and P be its position at time t, when OP = x. Clearly, the velocity and acceleration of the particle at P are dx/dt and d",Mathematics
"A particle moves with uniform acceleration along a straight line and describes distances 21m, 43m and 91m at times 2, 4 and 7 seconds,respectivelyWhat is the distance described by the particle in 3 seconds?",30 cm,31 cm,32 cm,33 cm,B,We assume that the particle moves with uniform acceleration 2f m/sec.,Mathematics
"A particle moves with uniform acceleration along a straight line and describes distances 21m, 43m and 91m at times 2, 4 and 7 seconds, respectivelyWhat is the velocity of the particle in 3 seconds?",11m/sec,31 cm/sec,21m/sec,41m/sec,A,We assume that the particle moves with uniform acceleration 2f m/sec.,Mathematics
What is the period from birth to natural death of an organism known as?,Life span,Senescence,Age,Life cycle,A,"The period from birth to natural death of an organism is known as its life span. It varies from few years to thousand years, depending on the organism.",Biology
What is the term used to describe genetic and morphologic similarities between different individuals?,Offspring,Clone,Gamete,Cell,B,Clones are organisms with the same genetic and morphological similarities. It can be carried out naturally and artificially. Asexual reproduction is an example of natural cloning. Artificial cloning is carried out in labs. In biotechnology cloning can refer to DNA fragments or cell copies.,Biology
Which plant is the “terror of Bengal”?,Cereus,Corpse plant,Water hyacinth,Cactus,C,"Water hyacinth is a water weed that grows on still water. It drains out all the oxygen from the water bodies which is extremely fatal for the marine organisms. It is very difficult to get rid of them because even if leaves behind a single bud, it will start multiplying at a great speed.",Biology
From where do rhizomes arise?,Roots,Leaves,Buds,Nodes,D,The site of origin in rhizomes is from nodes present in modified stems. Examples of plants that give rise to new plantlets from nodes potatoes (the nodes on potatoes are also called nodes) and ginger.,Biology
What is the period of growth known as in plants?,Senescence,Juvenile phase,Reproductive phase,Vegetative phase,D,The general term for the period of growth is known as juvenile phase. In plants it is known as the vegetative phase. The end of juvenile phase marks the beginning of reproductive phase.,Biology
Which of the following undergoes binary fission?,Amoeba,Hydra,Yeast,Ring worm,A,Amoeba undergoes binary fission. Many single celled organisms undergo binary fission. The diagram depicts the process.,Biology
How does hydra reproduce?,Gemmules,Budding,Conidia,Zoospores,A,Hydra reproduces by forming buds externally. It grows and develops tentacles. It eventually separates from the parent and lives an independent life. This process may also be known as fragmentation in hydra since a part of it falls of and starts growing independently.,Biology
Which organism undergoes the phenomenon of encystation?,Plants,Amoeba,Ring worm,Fungi,B,"Amoeba undergoes the phenomenon of encystation. Under unfavorable conditions, amoeba withdraws its pseudopodium and secretes a cyst that covers it.",Biology
Which one of the following is an example of a runner?,Lolium multiflorum,Narcissus,Bryophyllum daigremontianum,Kalanchoe,A,"Lolium multiflorum also known as lawn grass is a type of runner. Narcissus is a plant that reproduces by bulb formation, like onions and the other 2 are plants that reproduce by adventitious buds.",Biology
What is budding also called in yeast?,Archaeocytes,Vegetative propagation,Torulation,Fragmentation,C,Budding is the process of formation of small mini structures similar to the parent that grow to an extent and then falls off to grow independently. It is also called torulation in yeast as a parent cell. Buds bearing buds resemble a fungi genus Torula.,Biology
Which of the following is not an example of vegetative propagation?,Offset,Sucker,Rhizome,Fragmentation,D,In some organisms a body part breaks and forms into an independent organism just like the parent. Hydra is one such organism which undergoes reproduction like that.,Biology
Which of the following is commonly known as walking fern?,Kalanchoe,Saintpaulia,Begonia,Adiantum caudatum,D,"Adiantum caudatum is commonly known as walking fern. This is because their leaf tips form new plants when they come in contact with the soil. Others are an example of plants that reproduce by leaves. It forms buds on the notches and falls off when old enough to grow on its own. In begonia, the injured leaf grows into a new plant.",Biology
Offset can also be described as a ______,Thick runner,Thin tuber,Long rhizome,Short suckers,A,"Offset is a thick runner type branch that helps in vegetative propagation by sub aerial stems. It can grow even if there is an injury and it will grow independently. Examples are Pistia, Eichhornia.",Biology
What are non-motile fungal spores also known as?,Gemmules,Nodes,Conidia,Zoospores,C,Conidia are non-motile fungal spores that are produced singly or in chains by constriction of tips of conidiophores and are dispersed by wind. Zoospores are motile fungal spores. Gemmules are reproductive structures of sponges and nodes are just a site on the stem from where the new plant arises in rhizomes (vegetative propagation).,Biology
Which of the following is a vegetative propagation by sub aerial stems?,Tuber,Rhizome,Bulbils,Sucker,D,"In suckers the lateral branches arise from basal and underground portions of the main stem. They grow horizontally underground and the leafy shots arise from the soil. For example, bananas.",Biology
Which of the following is an example of a bulb?,Tulip,Oxalis,Bryophyllum daigremontianum,Kalanchoe,A,Tulip is an example of a bulb. It is a vegetative propagation by underground stems. They have more than one terminal buds. Another very common example is the onion. Oxalis is and example of a runner and the other 2 are examples of vegetative propagation by leaves.,Biology
Which of the following is not an example of sub aerial vegetative propagation?,Sucker,Offset,Runner,Bulbils,D,"Bulbils, also called vegetative propagation by flower buds is not an example of sub aerial vegetative propagation. It produces multicellular fleshy buds that give rise to new plants. Example, Agave.",Biology
How does a starfish reproduce?,Lays eggs,Budding,Binary fission,Fragmentation,C,"Starfish reproduces by binary fission. Just like the single celled organisms, starfish breaks along the central axis. The 2 separate halves then lead an independent life by forming or regenerating the limbs and missing parts.",Biology
How are male honey bees born?,Parthenogenesis,Fragmentation,Eggs,Spores,A,Parthenogenesis is a process of reproduction where the ovum is unfertilized. In case of bees the eggs are haploid which subsequently makes the male bee haploid. It is a type of asexual reproduction. This type of reproduction takes place in lower plants like aphids.,Biology
What is sexual reproduction?,Fusion of male and female gamete,Fusion of male and male gamete,Fusion of female and female gamete,Either a male or a female gamete,A,The fusion of a haploid male (23 chromosomes) and a haploid female gamete (23 chromosomes) produces a diploid (46 chromosomes) egg or a zygote. This process of reproduction is known as sexual reproduction.,Biology
What is phase when the organism is old enough to reproduce known as?,Juvenile phase,Vegetative phase,Senescence,Reproductive phase,D,The phase when it is growing is known as the juvenile phase or the vegetative phase (in plants). The phase after that when the reproductive organs in the organism matures is known as the reproductive phase. Senescence is the phase when the plant starts deteriorating as it grows old and finally dies.,Biology
"In which plant species is it difficult to define the different phases (juvenile, reproductive phase)?",Biennial,Annual,Perennial,Seasonal,C,"It is difficult to clearly distinguish between the different phases in perennial plants. Some plants exhibit unusual flowering phenomena. Some plants flower every year, there are some that flower every 10 years and some plants flower every 50 years. Neelakurinji is a flowering plant that flowers every 12 years.",Biology
Which type of plants flower only once?,Monocarpic,Polycarpic,Vivipary,Unocarpic,A,"Monocarpic plants flower only once in its lifetime. They die after flowering. Annuals like marigold, wheat, paddy, biennials like radish, perennials like Bambusa tulda which flowers every 50-100 years, fruits and dies.",Biology
Which type of plant flowers repeatedly?,Polypary,Vivipary,Polycarpic,Monocarpic,C,"Polycarpic plants are those that flower repeatedly, which means they do not die after flowering once. Examples are perennials like apple, mango and perennial flowers like china rose, it flowers throughout the year.",Biology
What are the 3 phases in a life cycle (in order)?,"reproductive, senescence, juvenile","juvenile, senescence, death","reproductive, senescence, death","juvenile, reproductive, senescence",D,There are 3 phases in a life cycle.,Biology
Name the sequence in which sexual reproduction is divided into?,"fertilization, post-fertilization, reproduction","pre-fertilization, fertilization, post-fertilization","pre-fertilization, fertilization, reproduction","pre-fertilization, post-fertilization, fertilization",B,"Sexual reproduction is the fusion of the male and the female gamete that forms a single celled zygote, the process is known as fertilization. This process has been divided into 3 events. The pre-fertilization, fertilization and post-fertilization events.",Biology
Which factor is responsible for the changes in the 3 phases in a life cycle?,Blood,Hormones,Respiration,Nervous system (in animals,B,Hormones are chemical messengers that travel through the bloodstream (in case of animals). Hormones are responsible for the change in the phases in both plants and animals. Hormonal change can be affected by environmental factors too.,Biology
What are the 2 main pre fertilization events?,Gamete transfer and fertilization,Gamete transfer and gametogenesis,Gametogenesis and fertilization,Gametogenesis and cell division,B,Gametogenesis refers to the formation of the gametes. In sexual reproduction formation of gametes is very important since an offspring is formed only after the fusion of the gametes. Gamete transfer refers to bringing the 2 gametes together.,Biology
The male gamete is called as ___________,Antherozoid,Egg,Isogametes,Fucus,A,Male gamete is called antherozoid or sperm. They are called so in heterogametes. The two gametes produced are morphologically distinct types. The female gamete is called egg or ovum.,Biology
What are the male organs in a flowering plant called?,Carpels,Petals,Ovary,Stamen,D,"Stamens are the male organs of a flower. Flowers maybe unisexual (either staminate or pistillate). In staminate plants only the male part, that is the stamen, is present and in the pistillate plants only the female part is present (ovaries). In bisexual plants, both are present.",Biology
Cucurbits and coconuts are examples of _______,Polycious,Dioecious,Trioecious,Monoecious,D,"A plant having both reproductive organs in the same plant is known as monoecious plants. It may also be known as homothallic conditions. Dioecious plants are those which have only one reproductive organ, also known as unisexual plants. Another word for dioecious plants is heterothallic.",Biology
Which of the following is an example of a unisexual organism?,Earthworm,Cockroach,Tapeworm,Leech,B,"Cockroach is an example of a unisexual organism, which means it can produce only one type of gamete, either male or female. Leech, tapeworm and earthworm are bisexual organisms, organisms that can produce both gametes.",Biology
Gametes in all ____ species are of 2 types,Heterogametic,Homogametic,Mongametic,Polygametic,A,"All heterogametic species can produce 2 types of gametes, male and female, their sex chromosomes are unidentical. Homogametic species the sex chromosomes are identical.",Biology
What are the cells in diploid organisms that undergo meiosis called?,mitocytes,meiocytes,polygametes,gametes,B,Meiocytes are cells in diploid organisms that undergo meiosis. Meiosis is the process of producing 4 haploid cells from a single cell that has been divided twice. The haploid cell then becomes diploid after its fusion with the other sex gamete.,Biology
Which structure in the plant carries the male organ?,sperm,ovule,pollen grain,spores,C,The pollen grains carry the male organ. Mostly the male organs are the motile gamete while the female organ is stationary. It is necessary for the male organs to be small and light for easy propagation by the environmental agents.,Biology
What is syngamy?,Parthenogenesis,Gamete transfer,Fertilization,Gametogenesis,C,"Syngamy is the process of fusion of a haploid male(n) and a haploid female(n) gamete. On fusion, the zygote or the egg formed is diploid(2n). Often this process is also known as fertilization.",Biology
What is the most important event in sexual reproduction?,Fusion of gametes,Secondary sexual organs,Temperature,Environmental factors,A,"Fertilization is the most important event in sexual reproduction. It is the process of fusion of 2 haploid gametes of different sex, forming one single diploid zygote. Also known as syngamy.",Biology
The parthenogenesis is also called as ________,fertilization,syngamy,virgin birth,fusion,C,"It is reproduction without fertilization. This means, the egg or ovum or the female gamete is not fertilized by the male gamete. The offspring hence born is haploid. Since there is no fertilization involved, it is called as virginal reproduction or virgin birth.",Biology
________ is retained throughout generations in parthenogenesis,Phenotype,Genotype,Age,Generation,B,"Since there is no fertilization, there is no crossing over of genes, hence the genotype is retained throughout generations in parthenogenesis. This means no variety in the population.",Biology
What is the disadvantage of parthenogenesis?,Wastage of germplasm,Retention of genotype,Lack of adaptability,Variety in population,C,"Since there is no fertilization of gametes taking place, there is no crossing over of genes taking place. This hence causes no variations in the generations. This makes it difficult for the offspring to adapt to the changing environmental conditions.",Biology
Where does syngamy occur?,Terrestrial,Water,Outside,Internally,D,"Syngamy is the fusion of 2 haploid gametes to form a diploid zygote. This process of fusion happens internally inside the female body. Because of this, syngamy is also often known as internal fertilization.",Biology
How are the non-motile pollen grains carried to the female gamete?,Insects,Pollen tube,Anther,Stalk,B,"Non motile pollen grains are carried to the female gamete via a pollen tube which extends from the stigma, all the way through the style, reaching the ovaries. Wind, water, insects, etc. are just ways of mode of transportation for cross pollination.",Biology
In which of the following does syngamy occur inside?,Algae,Amphibians,Fishes,Humans,D,"Syngamy is the process of fertilization that produces a diploid cell on the fusion of two haploid cells. It is also often called internal fertilization since the process takes place on the inside. However, there are few species of organisms where syngamy occurs outside their bodies, in an external medium. Example, algae, fishes, amphibians, etc. This is also called as external fertilization.",Biology
What is the event after zygote formation called?,Pre-fertilization,Post-fertilization,Fertilization,Gametogenesis,C,"Sexual reproduction is divided into 3 events. Pre-fertilization, fertilization and post-fertilization events. Pre fertilization is the events occurring before fusion of gametes (gametogenesis), fertilization is the fusion of gametes to form zygote and post-fertilization are the events occurring after zygote formation.",Biology
Zygote divides by ______ to form haploid spores,mitosis,meiosis,fragmentation,sporulation,B,"Organisms having haplontic lifecycles, zygote divides by meiosis to form haploid spores that grow into haploid individuals. Formation of zygote forms the vital link, ensuring continuity of the species.",Biology
What is development of embryo called?,Fertilization,Syngamy,Parthenogenesis,Embryogenesis,D,Embryogenesis is the process of embryo formation from a zygote. It undergoes mitosis and cell differentiation in this process. Cell differentiation helps in categorizing cells into specialized tissues.,Biology
What are animals in which zygote development happens outside the body called?,Viviparous,Oviparous,Reptiles,Birds,B,Animals are categorized into 2 types of–oviparous and viviparous. Oviparous animals are those animals in which zygote development takes place outside the body. Reptiles and birds are examples of oviparous animals.,Biology
What are animals in which zygote formation takes place in the body called?,Oviparous,Viviparous,Humans,Whales,B,Animals are categorized into 2 types of–oviparous and viviparous. Viviparous animals are those animals in which zygote development takes place within the body itself. Mammals are a very good example for viviparous reproduction.,Biology
Chances of survival are more for ______ animals,Terrestrial,Oviparous,Viviparous,Aerial,C,"Since zygote development takes place inside the female body, they are in a protected environment. Unlike the oviparous animals, which are vulnerable. The chances of oviparous animals to survive is low.",Biology
"In flowering plants, where is the zygote formed?",Ovule,Pollen tube,Anther,Stalk,A,"In flowering plants, the zygote is formed in the ovule. The pollen tube is a mode of transportation for the pollens that lay on the stigma, to the ovaries. Anther consists of pollen grains (male gamete).",Biology
What does the zygote develop into?,Embryo,Baby,Morula,Humans,A,"Zygote develops into an embryo. It happens through a series of cell division and cell differentiation. In case of flowering plants, the zygote develops into an embryo and the ovule develops into a seed.",Biology
What is the thick wall developed on a fruit called?,Parenchyma,Hilum,Pleurae,Pericarp,D,Ovaries develop into fruits which further develop a thick wall covering called the pericarp. The major function of the pericarp is protection. After fertilization all flower parts wither and fall off.,Biology
What is the reproductive unit in angiosperms?,Flowers,Stalk,Pedicel,Leaf,A,Flowers are the reproductive units of angiosperms. Angiosperms are flowering plants. Its inside the flowers that the male and female reproductive structures exist. Stamens in case of males and pistil in case of females.,Biology
What are the four whorls of the flower arranged on?,Ovaries,Stem,Petals,Thalamus,D,The four whorls of the flower are arranged successively on a swollen end of a stalk or pedicel known as the thalamus or the receptacle. The receptacle gives rise to edible parts of the fruit.,Biology
"Why are petals unique in shape, odor, color, etc?",Attraction,Pollination,Survival,Protection,B,"Flowers are unique in color, shape, odor, etc. for pollination. It is necessary to attract insects and animals for cross pollination and having sweet odor and attractive shapes and colors helps in attracting them. Pollination is a pre-requisite for fertilization.",Biology
What is a collection of sepals?,Calyx,Corolla,Petals,Style,A,Collection of sepals is known as calyx. Floral parts like calyx and various other parts help in the dispersal of fruits and seeds. Corolla is also known as petals. Style is a part of the gynoecium that helps in pollination.,Biology
Anthers and filaments form the _____,gynoecium,calyx,androecium,corolla,C,"Androecium consists of the anthers and filaments. They are the male reproductive structures. Male gametes that are in pollen grains are on the anthers. Depending on the species, the stamens (anthers and filaments) may or may not protrude out of the flower.",Biology
What is self-pollination?,Pollens of a flower falling on another flower,Pollens of a flower falling on the stigma of the same flower,Pollens of the flower falling of the stigma of another flower of the same plant,Pollens of a flower falling on any flower,B,"Self-pollination means fertilization by pollens of the same flower. When the pollens from the anther fall on the stigma of the same flower, the style carries the pollen to the ovaries. This is known as self-pollination.",Biology
What does the androecium produce?,Spores,Microspores,Egg,Ovules,B,"Androecium collectively consists of the stamens, that is anthers and filaments. Anthers consists of the pollen grains. It’s within the pollen grains that the microspores are present. They form the male gamete.",Biology
What is androecium?,Stamens,Carpels,Corolla,Sepals,A,"Androecium is a collection of stamens. Stamens consists of anthers and filaments. Anthers are fused to the top of the filament that acts like a stalk. Pollen sacs are present on the anthers, within which are the pollen grains.",Biology
In Malvaceae anthers are _________,dithecous,trithecous,polythecous,monothecous,D,"Anthers may contain 1 or 2 lobes. Anthers with one lobe are known as monothecous and anthers with 2 lobes are known as dithecous. In Malvaceae and Euphorbiaceae, the anthers are monothecous.",Biology
The 2 lobes of the anther are attached together by a sterile _______ tissue,spongy,parenchymatous,schlerenchyma,pedicel,B,The 2 lobes are separated by a deep groove in the anterior region and are attached together on the backside by a sterile parenchymatous tissue called connective. This connective is absent in monothecous anthers.,Biology
What does a connective possess?,Vascular strand,Parenchyma,Spongy cells,Corolla,A,"Connective also known as sterile parenchyma tissue possesses a vascular strand. This is the tissue that attaches 2 anther lobes together. Since monothecous anthers are made of only 1 anther lobe, it does not have connective.",Biology
How do the pollen grains break open from the pollen sacs?,Along the connective,Line of dehiscence,Grooves,Crack,B,"Line of dehiscence is the line along which the anther opens up and spills all the contents inside it. When this line of dehiscence opens up, the pollen grains fall out of it and are carried away by environmental factors like wind, water, animals, etc.",Biology
What are pollen sacs called?,Pollen sacs,Microspores,Microsporangia,Ovules,C,Pollen sacs or microsporangia are present within the anther lobes. Each anther lobe has 2 microsporangia. It’s very rare to see a single microsporangium in an anther lobe. Example-Wolffia.,Biology
What is young anther made up of?,Meristematic cells,Parenchyma,Pores,Seeds,A,Anther is the male reproductive structure in a flower. It consists of pollen sacs which contain the male gametes also known as pollen grains. Young anther is made up of homogeneous meristematic cells.,Biology
"What are the meristematic cells in young anther, surrounded by?",Pores,Parenchyma,Meristematic tissue,Epidermis,D,The anther is made up of homogeneous meristematic tissues that are surrounded by epidermis. It then becomes 4 lobed. The archesporial cells are differentiated.,Biology
"Epidermis, Endothecium, Middle layers, Tapetum are ______",pollen sac layers,wall of anther,pollen grain layers,epidermal,B,The aforementioned parts form the wall of the anther. Epidermis forms the first layer. It surrounds the meristematic cells in young anthers. The second layer is the endothecium. Third layer is the middle layers and the innermost layer is the tapetum.,Biology
What are the 2 parts of the pollen sac?,Spongy and parenchyma cells,Outer wall and central tissue,Schlerenchyma and parenchyma cells,Outer wall and parenchyma cells,B,The microsporangium or the future pollen sac is a cylindrical sac like structure which consists of 2 parts. The outer wall and the central homogeneous sporogenous tissue.,Biology
How does the outer 3 layers help young anthers?,Osmosis,active transport,Nutrients and water,Protection,D,"The outer three layers of the microsporangial wall (epidermis, endothecium, middle layers) help in protection of the young anther and mechanism of dehiscence in matured anthers.",Biology
Which two layers of the anther wall contain large cells?,Epidermis and Endothecium,Endothecium and Middle layers,Endothecium and Tapetum,Epidermis and Tapetum,C,The walls of the anther or microsporangium are present for protection in young anthers and for the mechanism of dehiscence in mature anthers. Endothecium and tapetum have larger cells compared to epidermis and middle layers.,Biology
What is the endothecium also called as?,Vascular strand,Fibrous layer,Middle layer,Hyperdermal layer,B,"Endothecium forms the second layer in series of the microsporangial wall, that is between the epidermis and the middle layers. It has fibrous thickenings because of which it is also known as the fibrous layer.",Biology
What constitutes the stomium?,Pollen sacs,Hypodermal cells,Microsporangia,Meristematic cells,B,Stomium or the line of dehiscence constitutes the shallow groove present between the microsporangial sacs in the anther lobe. The hypodermal cells lying in that area of the endothecium are thin walled.,Biology
Pollen grain protoplast is _______,large,multinucleate,porous,uninucleate,D,Pollen grain protoplasts are uninucleate at the beginning but at the time of liberation it becomes 2 or 3 celled. Pollen grains are the male gametes. They are present inside the pollen sacs.,Biology
Cytoplasm of the pollen grains are rich in _______,starch,proteins,minerals,vitamins,A,"The cytoplasm is rich in starch and unsaturated oils. Unsaturated oils protect the cell or rather chromosome from radiation damage. It prevents mutation of the chromosome, ensuring the genes are protected.",Biology
Wall of pollen grain is called as ________,sporopollenin,sporoderm,stomium,tapetum,B,Pollen grains are the male gametes. They’ve a wall like protective covering. Sporoderm is the wall or covering of the pollen grain. It has two layers. Exine-the outer layer and intine-the inner layer.,Biology
Intine is ____ in nature,starchy,parenchymatous,pectocellulosic,epidermal,C,"Pollen grains are covered by sporoderm which constitute 2 layers, the exine (outer) and intine (inner). Intine is pectocellulosic in nature. At certain places it contains enzymatic proteins.",Biology
Exine is made up of ____,vascular strands,sporopollenin,parenchyma,meristematic cells,B,Exine forms the outer layer of the pollen grain. It is made of sporopollenin. It basically helps in providing protection. Sporopollenin is chemically inert and is not broken down or degraded by enzymes.,Biology
Which of the following is a part of the ektexine?,Baculate,Endothecium,Tapetum,Epidermis,A,"Ektexine is a part of the exine which forms the outer covering. Ektexine is further made up of an inner continuous foot layer, a middle discontinuous baculite layer and outermost discontinuous tectum.",Biology
What is palynology?,Study of internal morphology of pollens,Study of anthers,Study of external morphology of pollens,Study of young pollens,C,"Palynology is the study of the external morphology of mature pollen grains. Helps experts to identify the species, genus, family, nature, etc.",Biology
What is exine covered by?,Parenchyma,Paracellulose,Pollen,Pollenkit,D,"The exine is spiny to help attach itself to insects for pollination. This exine is covered by a sticky, yellow, oily covering called pollenkit. Its made up of lipids and carotenoid.",Biology
Pollen viability is ____,ability to germinate,time taken to mature,dehiscence,senescence,A,"Pollen viability is the period in which the pollen grain can germinate. They vary from species to species. For example, in rice and wheat the pollen viability is 30 minutes while in other plants they may last for few hours to days.",Biology
Pollen grains can be stored in _____,liquid oxygen,liquid hydrogen,liquid ozone,liquid nitrogen,D,It is possible to store pollen grains in liquid nitrogen. This means at extremely low temperatures (-196°C) in pollen banks for later use by the breeders for plant breeding programs.,Biology
_____ species produces large number of pollens,Leguminosae,Rosacea,Anemophilous,Solanaceae,C,Anemophilous species produce a large number of pollens. Because of this they might float in the air and enter respiratory tracts causing allergies and respiratory disorders.,Biology
One of the major contributors to pollen allergy is ____,lawn grass,carrot grass,wheat grass,paddy,B,"Pollen allergies are usually caused by plants that produce pollens in a large number. Because of this they might float in air as well causing them to enter respiratory tracts. Carrot grass, Parthenium are a major contributor to pollen allergies.",Biology
Pollen grain is also known as ______,microspore,microsporangium,megaspore,megasporangium,A,Pollen grain or microspore is the first cell of male gametophyte that represents immature male gametophyte. They are made light in nature to make it possible for easy transportation.,Biology
Why are pollens spiny?,Fertilization,Easy pollination,To attach to bodies of insects,Appearance,C,Pollens are spiny because they make it easy for the pollens to attach themselves to the insects that come to suck the nectar. This makes cross pollination possible.,Biology
Which nutrients do the pollen grains contain the most?,Vitamins,Proteins,Fats,Carbohydrates,D,"Pollen grains are considered nutritious since they have proteins (7-26%), carbohydrates (24-48%) and fats (0.9-14.5%). They are used in multiple tablets and syrups to enhance the health in athletes and race horses.",Biology
What represents the female part of the flower?,Androecium,Corolla,Calyx,Gynoecium,D,"Gynoecium represents the female part of the flower. It consists of a stigma, style and ovaries. The gynoecium is non motile. It’s the pollens that are motile. They fall on the stigma which starts the fertilization process.",Biology
What does syncarpous mean?,Fused carpels,Fused corolla,Fused androecium,Fused sepals,A,"Syncarpous means fused carpels. Carpels include the female reproductive structures–stigma, style, ovaries. It may exist singly or in a bunch. In syncarpous plants, the bunches are fused in different ways.",Biology
What is a pistil?,Androecium,Gynoecium,Stigma,Ovaries,B,"Pistil is the free unit of a gynoecium. A pistil has three parts-style, stigma and ovaries. Stigma acts as a landing platform for the pollens. Style is the long tube-like structure that carries the male gamete to the ovaries.",Biology
How to identify the ovary?,Multiple layers,Thin and short,Long tube-like structure,Basal swollen part,D,Ovaries can be identified by their characteristic appearance by being the basal swollen part. The style connects the ovary with the stigma. An ovary may have one or more ovules.,Biology
What does the stigma do?,Compatibility test,Support,Connection,Reproduce,A,Stigma acts as a landing place for the pollen grains from where the style carries it to the ovaries for the fertilization. Stigma also checks the pollen grain for compatibility or incompatibility.,Biology
In which condition should the ovaries be free?,Apoptosis,Apocarpous,Syncarpous,Adephalous,B,"In apocarpous condition the ovaries must be free, though the other parts maybe fused.  Example Oleandar. In simple words, separate carpels.",Biology
What are locules?,Holes,Walls,Chambers,Ovaries,C,The ovary carries the ovules. It has an ovarian cavity with one or more chambers or locules. There are different ways in which the ovules may align themselves in the ovary.,Biology
What is a placenta?,Cells,Parenchymatous cushion,Layers,Ovary,B,"The ovule bearing parenchymatous tissue is known as the placenta. It is also the part of the ovary where the funiculus attaches itself. Just like in humans, the placenta provides nutrition to the growing ovules.",Biology
Papaver is ______,apocarpous,adelophelous,syncarpous,apoptosis,C,"Papaver, commonly known as poppy is a syncarpous flower. The carpels in this flower are fused together. Sometimes the style and stigma maybe free like in hibiscus. In an apocarpous condition, the ovaries must be free.",Biology
What is a megasporangium?,Pistil,Carpel,Ovule,Stigma,C,An ovule is an integumented megasporangium found in spermatophytes which develops into a seed on fertilization. The cells within the megasporangium are diploid which will divide via meiosis to form 4 megaspores.,Biology
Angiosperm ovules are generally ______,pinkish,brownish,greenish,whitish,D,Angiosperm ovules are generally ovoid in shape and whitish. The usually occur on the parenchymatous cushion inside the ovary which is also known as the placenta. Either singly or in a cluster.,Biology
Where do the ovules grow?,Flower,Gynoecium,Stigma,Placenta,D,"The ovules grow and mature on the parenchymatous cushion in the ovary, also known as the placenta. Placenta is the medium through which young ovules get nutrition. The ovules may appear singly or in a cluster.",Biology
What is the stalk called?,Carpel,Sepal,Funicle,Hypothalamus,C,The ovule is stalked. The stalk or the funicle is connected to the ovary by the placenta. This point is known as the hilum. It’s through which water and nutrients go inside the ovary.,Biology
"In a typical anatropous, the funicle is ____ with the ovary",detached,fused,above,different,B,"In a typical anatropous, the funicle is fused with body of the ovary. It gives a longitudinal rise called the raphe. The funicle contains the vascular strands that provide nourishment to the ovary.",Biology
Mass of parenchymatous cells on the body of the ovary is also called ______,nucellus,meristematic cell,tegument,ovule,A,The mass of parenchymatous cells are also known as the Nucellus. It maybe massive (crassinucellate ovule) or thin (tenuinucellate ovule). Its surrounded by one or more teguments.,Biology
What is ategmic?,Presence of 1 tegument,Presence of 3 teguments,Absence of integuments,Presence of 2 teguments,C,"Ategmic means the absence of integuments. Integuments are a natural outer, protective layer. Just like skin in animals, integument in plants is thin and layered.",Biology
Passage at one end of the ovary is called as _______,micropyle,funicle,chalaza,hilum,A,"Passage or pore present at the end of the ovary is called a micropyle. It is a small opening through which water, air, nutrients, etc. go. This pore or passage is left by integuments.",Biology
Origin of integuments are _____,funicle,hilum,micropyle,chalaza,D,Chalaza is the origin of the integuments or also known as the point where the nucellus attaches itself to the integument. They are usually present on the opposite sides of the ovule (opposite to the micropyle).,Biology
Which half is the embryo sac embedded?,Funicle,Ovule,Micropylar,Chalaza,C,The embryo sac is embedded in the micropylar end of the nucellus. Nucellus consists of the body of the embryo that is made up of parenchymatous cells. Its equivalent to microsporangium.,Biology
________ distinguished between bisporic and tetrasporic,Mendel,Nirenburg,Maheshwari,Kvitova,C,Maheshwari distinguished between bisporic and tetrasporic. Bisporic embryo sacs develop from 2 megaspores and tetrasporic embryo sacs develop from 4 megaspores.,Biology
______ apparatus is a mass of finger like projections on the synergid wall,Egg,Chalaza,Micropylar,Filiform,D,Filiform apparatus is a mass of finger like projections of the wall of the synergid cells into the cytoplasm. It may or may not be present. It guides the male gametophytes during fertilization.,Biology
How do the 3 cells of the egg apparatus communicate?,Plasmodesmata,Nucellus,Cytokine,Vacuole,A,The 3 micropylar cells are collectively known as the egg apparatus. They share a common wall. Its through the plasmodesmata that the 3 cells communicate.,Biology
